# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	10093
#@/user_id	a8b00f8d-da25-48f6-bb68-71052c2c8d80
chu yu 	處於	c=2 d=3.0604e-11 t=10093
chu yuan 	出院	c=2 d=1.36585 t=10093
chu zu 	出租	c=1 d=3.96181e-20 t=10093
chuan 	川	c=2 d=0.0603506 t=10093
chuan bo 	傳播	c=1 d=0.576209 t=10093
chuan bo qing kuang 	傳播情況	c=1 d=0.491644 t=10093
chuan chu 	傳出	c=4 d=8.56587e-05 t=10093
chuan huan 	傳喚	c=0 d=2.22706e-09 t=10093
chuan huan ni 	傳喚你	c=1 d=2.23822e-08 t=10093
chuan mei 	傳媒	c=6 d=8.34465e-09 t=10093
chuan piao 	傳票	c=1 d=0.108067 t=10093
chuan piao 	船票	c=1 d=0.107528 t=10093
chuan pu 	川普	c=9 d=7.88952e-17 t=10093
chuan shu 	傳輸	c=1 d=4.00994e-15 t=10093
chuan shuo 	傳說	c=1 d=1.52062e-19 t=10093
chuan tong 	傳統	c=1 d=5.71695e-11 t=10093
chuan wen 	傳聞	c=1 d=1.84771e-17 t=10093
chuang 	創	c=1 d=4.51106e-18 t=10093
chuang dan 	牀單	c=2 d=0.00719046 t=10093
chuang ju 	創舉	c=1 d=1.93177e-11 t=10093
chuang shang 	牀上	c=1 d=0.00726273 t=10093
chun 	春	c=1 d=0.0342181 t=10093
chun 	純	c=2 d=4.81796e-20 t=10093
chun jie 	春節	c=1 d=4.18154e-08 t=10093
ci 	此	c=5 d=0.172048 t=10093
ci 	詞	c=1 d=0.0754537 t=10093
ci ci 	此次	c=1 d=1.68346e-10 t=10093
ci di zhi 	此地址	c=1 d=2.96811e-05 t=10093
ci ji 	刺激	c=1 d=1.181e-16 t=10093
ci ju dong 	此舉動	c=1 d=1.28512e-10 t=10093
ci ke 	刺客	c=1 d=2.19353e-06 t=10093
ci li 	磁力	c=1 d=0.00658748 t=10093
ci li lian jie 	磁力鏈接	c=3 d=0.261168 t=10093
ci pian 	此篇	c=1 d=1.43753e-05 t=10093
ci qian 	此前	c=2 d=0.00185476 t=10093
ci sha 	刺殺	c=1 d=0.402524 t=10093
ci tiao 	此條	c=1 d=6.39605e-08 t=10093
ci wen 	此文	c=3 d=0.000125275 t=10093
ci xi 	慈禧	c=2 d=0.231809 t=10093
ci xuan fu 	磁懸浮	c=1 d=0.477114 t=10093
ci yu 	詞語	c=2 d=0.000135939 t=10093
ci zhi 	辭職	c=4 d=0.147491 t=10093
ci zhong 	此種	c=2 d=0.0305009 t=10093
cong 	從	c=35 d=1.27926 t=10093
cong 	聰	c=1 d=0.0220377 t=10093
cong ci 	從此	c=2 d=0.0206508 t=10093
cong lai 	從來	c=2 d=2.74444e-11 t=10093
cong ming 	聰明	c=1 d=1.17471e-12 t=10093
cong wang shang 	從網上	c=1 d=0.00701293 t=10093
cong wei 	從未	c=2 d=0.0018734 t=10093
cong wo 	從我	c=1 d=0.000254808 t=10093
